EmpID,First Name,Last Name,Birthday,Address,Phone Number,Status,Position,Immediate Supervisor
10016,Kolby ,Delos Santos,26-Feb-80,06A Gulgowski Extensions Bongabon 6085 Zamboanga del Sur,739-443-033,Probationary,Account Rank and File,Mata Christian
10017,Vella ,Santos,31-Dec-83,99A Padberg Spring Poblacion Mabalacat 3959 Lanao del Sur,955-879-269,Probationary,Account Rank and File,Mata Christian
10018,Tomas,Del Rosario,18-Dec-78,80A/48 Ledner Ridges Poblacion Kabankalan 8870 Marinduque,882-550-989,Probationary,Account Rank and File,Mata Christian
10019,Jacklyn ,Tolentino,19-May-84,96/48 Watsica Flats Suite 734 Poblacion Malolos 1844 Ifugao,675-757-366,Probationary,Account Rank and File,De Leon Selena
10020,Percival ,Gutierrez,18-Dec-70,58A Wilderman Walks Poblacion Digos 5822 Davao del Sur,512-899-876,Probationary,Account Rank and File,De Leon Selena
10021,Garfield ,Manalaysay,28-Aug-86,60 Goyette Valley Suite 219 Poblacion Tabuk 3159 Lanao del Sur,948-628-136,Probationary,Account Rank and File,De Leon Selena
10022,Lizeth ,Villegas,12-Dec-81,66/77 Mann Views Luisiana 1263 Dinagat Islands,332-372-215,Probationary,Account Rank and File,De Leon Selena
10023,Carol ,Ramos,20-Aug-78,72/70 Stamm Spurs Bustos 4550 Iloilo,250-700-389,Probationary,Account Rank and File,De Leon Selena
10024,Emelia ,Maceda,14-Apr-73,50A/83 Bahringer Oval Suite 145 Kiamba 7688 Nueva Ecija,973-358-041,Probationary,Account Rank and File,De Leon Selena
10025,Delia ,Aguilar,27-Jan-89,95 Cremin Junction Surallah 2809 Cotabato,529-705-439,Probationary,Account Rank and File,De Leon Selena
10026,Manuel III,Garcia,11-Oct-83,Valero Carpark Building Valero Street 1227 Makati City,966-860-270,Regular,Chief Executive Officer,N/A
10027,Antonio,Lim,19-Jun-88,San Antonio De Padua 2 Block 1 Lot 8 and 2 Dasmarinas Cavite,171-867-411,Regular,Chief Operating Officer,Garcia Manuel III
10028,Bianca Sofia,Aquino,04-Aug-89,Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City,966-889-370,Regular,Chief Finance Officer,Garcia Manuel III
10029,Isabella,Reyes,16-Jun-94,460 Solanda Street Intramuros 1000 Manila,786-868-477,Regular,Chief Marketing Officer,Garcia Manuel III
10030,Eduard,Hernandez,23-Sep-89,National Highway Gingoog  Misamis Occidental,088-861-012,Regular,IT Operations and Systems,Lim Antonio
10031,Andrea Mae,Villanueva,14-Feb-88,17/85 Stracke Via Suite 042 Poblacion Las Piñas 4783 Dinagat Islands ,918-621-603,Regular,HR Manager,Lim Antonio
10032,Roderick,Alvaro,30-Mar-88,#284 T. Morato corner Scout Rallos Street Quezon City,053-381-386,Regular,Accounting Head,Aquino Bianca Sofia 
10033,John Rafael,Castro,09-Feb-92,Hi-way Yati Liloan Cebu,332-424-955 ,Regular,Sales & Marketing,Reyes Isabella
10034,Carlos Ian,Martinez,16-Nov-90,Bulala Camalaniugan,078-854-208,Regular,Supply Chain and Logistics,Reyes Isabella
10035,Beatriz,Santos,07-Aug-90,Agapita Building Metro Manila,526-639-511,Regular,Customer Service and Relations,Reyes Isabella
10040,Joyce Test,Ferrer,23-Oct-89,Test Bacoor Cavite,100,Regular,Account Team Leader,Mata Christian
10055,Testtest,Testtest,10-May-22,Testtest,09177777777,Probation,Account Team Leader,Villanueva Andrea Mae,Account Team Leader,Romualdez Fredrick
10055,Test,Test,10-May-22,Test,09177777777,Probation,Account Team Leader,Villanueva Andrea Mae
